stopped at Singapore Port,Hong Kong Port S,Shanghai Port S,Chiwan Port S,Mawei Port S,Chongqing Port S,Huangpu Port S,Nantong Port S,Ningbo Port S,Qingdao Port S,Guangzhou Port S,Tianjin Port S,Xiamen Port S,Wuxi Port S,Sunan Shuofang International Airport A,Nanjing Lukou International Airport A,Shanghai Hongqiao International Airport A,Shanghai Pudong International Airport A,Tianjin Binhai International Airport A,Guangzhou Baiyun International Airport A,Shenzhen Bao'an International Airport A,Singapore Port S,Singapore Changi Airport A,Port of Kuantan S,Port of Penang S,Butterworth railway station T,Bangkok Port T,Bangkok railway station T,Kunming Train station T,Chongqing train station T,Shanghai train station T,Wuxi train station T,Shenzhen train station T,Guangzhou train station T,new delhi airport A,Paradip Port S,Saigon Port S,Saigon railway station T,Ho Chih Minh airport A,Hanoi railway station T,Noi Bai International Airport A
Hong Kong Port S,-,72,48,96,72,48,72,72,96,48,96,48,72,72,72,72,72,96,48,48,144,144,120,120,120,96,96,72,120,72,72,48,48,192,144,96,96,96,96,96
Shanghai Port S,72,-,72,48,120,72,48,48,48,72,96,96,10,10,10,10,10,48,72,72,192,192,168,168,168,144,144,144,96,10,10,72,72,216,192,144,144,144,144,144
Chiwan Port S,48,72,-,96,72,48,72,72,96,48,96,48,72,72,72,72,72,144,48,48,144,144,120,120,120,96,96,72,72,72,72,48,48,192,144,120,120,96,96,96
Mawei Port S,96,48,96,-,120,96,96,48,48,96,120,48,48,48,96,48,48,120,96,96,168,168,144,144,144,120,120,96,96,48,48,96,96,216,168,120,120,120,120,120
Chongqing Port S,72,120,72,120,-,72,120,120,120,72,120,72,120,120,120,120,120,120,72,72,168,168,144,144,144,96,96,48,48,120,120,72,72,144,120,120,120,120,120,72
Huangpu Port S,48,72,48,96,72,-,72,72,96,48,144,48,72,72,72,72,72,96,48,48,144,144,120,120,120,96,96,72,72,72,72,48,48,192,144,120,120,96,96,96
Nantong Port S,72,48,72,96,120,72,-,48,48,72,96,48,48,48,48,48,48,72,72,72,192,192,168,168,168,144,144,96,96,48,48,72,72,216,192,144,144,144,144,96
Ningbo Port S,72,48,72,48,120,72,48,-,96,96,72,96,48,48,48,48,48,72,96,96,192,192,168,168,168,144,144,96,96,48,48,72,72,168,144,144,144,120,120,96
Qingdao Port S,96,48,96,48,120,96,48,96,-,96,48,120,48,48,48,48,48,48,96,96,216,216,192,192,192,168,168,120,96,48,48,96,96,192,192,144,144,144,144,120
Guangzhou Port S,48,72,48,96,72,48,72,96,96,-,144,48,72,72,72,72,72,96,48,48,144,144,120,120,120,96,96,72,72,72,72,48,48,192,144,120,120,96,96,96
Tianjin Port S,96,96,96,120,120,144,96,72,48,144,-,96,72,72,72,72,72,48,96,96,216,216,216,216,216,168,168,96,96,72,72,144,144,192,192,168,168,168,168,120
Xiamen Port S,48,96,48,48,72,48,48,96,120,48,96,-,96,96,72,72,72,96,48,48,144,144,144,144,144,120,120,96,72,72,72,48,48,192,144,144,144,144,144,120
Wuxi Port S,72,10,72,48,120,72,48,48,48,72,72,96,-,10,10,10,10,72,72,72,192,192,168,168,168,144,144,96,120,10,10,72,72,216,192,120,120,120,120,96
Sunan Shuofang International Airport A,72,10,72,48,120,72,48,48,48,72,72,96,10,-,10,10,10,72,72,72,192,192,168,168,168,144,144,144,120,10,10,72,72,216,192,144,144,144,144,96
Nanjing Lukou International Airport A,72,10,72,96,120,72,48,48,48,72,72,72,10,10,-,10,10,72,72,72,192,192,168,168,168,144,144,144,120,10,10,72,72,216,192,144,144,144,144,96
Shanghai Hongqiao International Airport A,72,10,72,48,120,72,48,48,48,72,72,72,10,10,10,-,10,72,72,72,192,192,168,168,168,144,144,144,120,10,10,72,72,216,192,144,144,144,144,96
Shanghai Pudong International Airport A,72,10,72,48,120,72,48,48,48,72,72,72,10,10,10,10,-,72,72,72,192,192,168,168,168,144,144,144,120,10,10,72,72,216,192,144,144,144,144,96
Tianjin Binhai International Airport A,96,48,144,120,120,96,72,72,48,96,48,96,72,72,72,72,72,-,96,96,216,216,216,216,216,168,168,96,96,72,72,144,144,192,192,168,168,168,168,120
Guangzhou Baiyun International Airport A,48,72,48,96,72,48,72,96,96,48,96,48,72,72,72,72,72,96,-,48,144,144,120,120,120,96,96,72,72,72,72,48,48,192,144,120,120,96,96,96
Shenzhen Bao'an International Airport A,48,72,48,96,72,48,72,96,96,48,96,48,72,72,72,72,72,96,48,-,144,144,120,120,120,96,96,72,72,72,72,48,48,192,144,120,120,120,120,96
Singapore Port S,144,192,144,168,168,144,192,192,216,144,216,144,192,192,192,192,192,216,144,144,-,2,24,24,24,120,120,144,168,192,192,144,144,192,144,72,72,72,72,120
Singapore Changi Airport A,144,192,144,168,168,144,192,192,216,144,216,144,192,192,192,192,192,216,144,144,2,-,24,24,24,120,120,144,168,192,192,144,144,192,144,72,72,72,72,120
Port of Kuantan S,120,168,120,144,144,120,168,168,192,120,216,144,168,168,168,168,168,216,120,120,24,24,-,10,10,72,72,120,144,168,168,120,120,192,144,96,96,96,96,144
Port of Penang S,120,168,120,144,144,120,168,168,192,120,216,144,168,168,168,168,168,216,120,120,24,24,10,-,10,72,72,120,144,168,168,120,120,192,144,96,96,96,96,144
Butterworth railway station T,120,168,120,144,144,120,168,168,192,120,216,144,168,168,168,168,168,216,120,120,24,24,10,10,-,72,72,120,144,168,168,120,120,192,144,96,96,96,96,144
Bangkok Port S,96,144,96,120,96,96,144,144,168,96,168,120,144,144,144,144,144,168,96,96,120,120,72,72,72,-,48,144,96,144,144,96,96,144,96,96,96,96,96,72
Bangkok railway station T,96,144,96,120,96,96,144,144,168,96,168,120,144,144,144,144,144,168,96,96,120,120,72,72,72,48,-,144,96,144,144,96,96,144,96,96,96,96,96,72
Kunming Train station T,72,144,72,96,48,72,96,96,120,72,96,96,96,144,144,144,144,96,72,72,144,144,120,120,120,144,144,-,48,144,144,72,72,144,96,96,96,96,96,48
Chongqing train station T,120,96,72,96,48,72,96,96,96,72,96,72,120,120,120,120,120,96,72,72,168,168,144,144,144,96,96,48,-,120,120,72,72,144,120,120,120,120,120,96
Shanghai train station T,72,10,72,48,120,72,48,48,48,72,72,72,10,10,10,10,10,72,72,72,192,192,168,168,168,144,144,144,120,-,10,72,72,216,192,144,144,144,144,96
Wuxi train station T,72,10,72,48,120,72,48,48,48,72,72,72,10,10,10,10,10,72,72,72,192,192,168,168,168,144,144,144,120,10,-,72,72,216,192,120,120,120,120,96
Shenzhen train station T,48,72,48,96,72,48,72,72,96,48,144,48,72,72,72,72,72,144,48,48,144,144,120,120,120,96,96,72,72,72,72,-,48,192,144,120,120,120,120,96
Guangzhou train station T,48,72,48,96,72,48,72,72,96,48,144,48,72,72,72,72,72,144,48,48,144,144,120,120,120,96,96,72,72,72,72,48,-,192,144,120,120,96,96,96
new delhi airport A,192,216,192,216,144,192,216,168,192,192,192,192,216,216,216,216,216,192,192,192,192,192,192,192,192,144,144,144,144,216,216,192,192,-,120,192,192,192,192,144
Paradip Port S,144,192,144,168,120,144,192,144,192,144,192,144,192,192,192,192,192,192,144,144,144,144,144,144,144,96,96,96,120,192,192,144,144,120,-,120,120,120,120,144
Saigon Port S,96,144,120,120,120,120,144,144,144,120,168,144,120,144,144,144,144,168,120,120,72,72,96,96,96,96,96,96,120,144,120,120,120,192,120,-,48,48,48,72
Saigon railway station T,96,144,120,120,120,120,144,144,144,120,168,144,120,144,144,144,144,168,120,120,72,72,96,96,96,96,96,96,120,144,120,120,120,192,120,48,-,48,48,72
Ho Chih Minh airport A,96,144,96,120,120,96,144,120,144,96,168,144,120,144,144,144,144,168,96,120,72,72,96,96,96,96,96,96,120,144,120,120,96,192,120,48,48,-,48,72
Hanoi railway station T,96,144,96,120,120,96,144,120,144,96,168,144,120,144,144,144,144,168,96,120,72,72,96,96,96,96,96,96,120,144,120,120,96,192,120,48,48,48,-,72
Noi Bai International Airport A,96,144,96,120,72,96,96,96,120,96,120,120,96,96,96,96,96,120,96,96,120,120,144,144,144,72,72,48,96,96,96,96,96,144,144,72,72,72,72,-
